"# Master Outreach Analytics — All Campaigns (Opens require tracking pixels, not available via Gmail API)"
"TOTAL,5727,20,1931,0.3%,33.7%"

Company,Total_Sent,Replies,Bounces,Reply_%,Bounce_%,First_Reply_Date,Campaigns
Wells Fargo,59,0,16,0.0%,27.1%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Cardinal Health,55,0,20,0.0%,36.4%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Berkshire Hathaway,51,0,24,0.0%,47.1%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Humana,51,0,24,0.0%,47.1%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
General Motors,49,0,25,0.0%,51.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 1 - June 2026"
Ford Motor,45,0,10,0.0%,22.2%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 1 - June 2026"
Palantir,44,0,35,0.0%,79.5%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026,Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
American Express,43,0,43,0.0%,100.0%,,"Fortune 20 Tech & Consulting - May 2026,Venture Out Batch 2 - June 2026"
Anthropic,41,0,0,0.0%,0.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Procter & Gamble,40,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026"
Stripe,40,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026"
Walmart,40,0,4,0.0%,10.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026"
Ramp,39,0,36,0.0%,92.3%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 2 - June 2026"
Cursor,36,0,0,0.0%,0.0%,,"Tech Startup Outreach - May 2026,Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Johnson & Johnson,36,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 3 Outreach - May 2026,Batch 1 FV Outreach - June 2026,Batch 3 FV Outreach - June 2026"
Applied Intuition,35,0,35,0.0%,100.0%,,"Tech Startup Outreach - May 2026,Venture Out Batch 2 - June 2026"
Perplexity,35,0,0,0.0%,0.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 2 - June 2026"
Vercel,35,0,0,0.0%,0.0%,,"Tech Startup Outreach - May 2026,Venture Out Batch 2 - June 2026"
New York Life Insurance,30,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Brex,28,0,0,0.0%,0.0%,,"Batch 4 Outreach - June 2026,Venture Out Batch 2 - June 2026"
RTX,27,0,18,0.0%,66.7%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 4 Outreach - June 2026,Batch 1 FV Outreach - June 2026"
